screen_name profile_duration default_profile default_profile_image description_not_null favourites_count followers_count friends_count geo_enabled listed_count location_not_null profile_use_background_image protected statuses_count url_not_null verified class
LilRedRidnFace 629.927118056 0 0 1 10 342 338 0 0 1 1 0 4261 0 0 1
babyphat100 1173.969212963 0 0 1 2 247 1643 0 2 1 1 0 1391 0 0 1
YOYO_Zips 921.748668981 0 0 1 0 37 429 0 0 1 1 0 153 0 0 1
Abenact 200.334710648 1 0 1 0 19 152 0 0 1 1 0 60 0 0 1
JuValeroso 457.744895833 0 0 1 1 386 975 1 0 1 1 0 69 0 0 1
OficialYuri 931.866666667 0 0 1 56 422039 72 1 2467 1 1 0 26211 1 1 0
TTMetOffice 64.454837963 0 0 1 0 1611 31 0 15 1 1 0 778 1 0 0
IFRSNow 1080.877638889 0 0 1 0 10647 11166 0 117 1 1 0 382 1 0 0
EbonyHunter69 186.034814815 1 0 1 0 30 126 0 0 1 1 0 16 0 0 1
kristinadamstv 632.397233796 0 0 1 2 11386 48 0 257 1 0 0 305 1 0 0
_1AnjoCaido 792.199791667 0 0 1 1 446 620 0 0 1 1 0 1645 1 0 1
p_Lizzy 535.438078704 1 0 1 0 166169 99 0 2520 1 1 0 266 0 0 0
rosaocampo3 965.565439815 0 1 1 5 16 26 0 0 1 1 0 70 0 0 1
nextofficial 1239.803078704 0 0 1 10 32136 3213 0 301 1 1 0 8727 1 0 0
Ben_Rattray 607.332060185 0 0 1 57 200 299 0 0 1 1 0 1131 0 0 1
Loreninha30 264.724421296 0 0 1 3 811 2020 0 0 1 1 0 66 0 0 1
MrsAKA85 33.523391204 1 0 1 0 5 10 0 0 1 1 0 34 0 0 1
Handsome_Wise 662.481805556 0 0 1 66 450 465 0 2 1 1 0 15246 0 0 1
Zombieburst 427.460590278 0 0 1 20 389 602 0 3 1 1 0 1276 1 0 0
hippiescholar94 352.20505787 1 0 1 731 273 151 0 0 1 1 0 923 0 0 1
VIUJAK777 789.032256944 1 1 1 0 230 1354 0 3 1 1 0 1 0 0 0
YeahItsAbe 1588.056608796 0 0 1 37 1372 1861 0 30 1 1 0 64397 1 0 0
paolo_colombo 553.607916667 1 1 1 0 0 2 0 0 1 1 0 1 0 0 1
RandydeRendy 102.921875 0 0 1 0 11 73 0 0 1 1 0 7 0 0 1
FOE_Bryan 15.402534722 0 0 1 15 252 140 0 0 1 1 0 204 0 0 1
oILiQuidzZ 302.87025463 0 0 1 0 659 1563 0 1 1 1 0 51 1 0 0
ErinKOlsen 1636.430034722 0 0 1 14 555 315 0 28 1 1 0 3763 1 0 1
Nyusha_Nyusha 639.02337963 0 0 1 1 163926 59 0 1740 1 1 0 2623 1 1 0
RealFredHammond 1251.386458333 1 0 1 11 145715 702 0 1374 1 1 0 23682 1 1 0
AppHandle 240.593819444 0 0 1 4 164 613 0 1 1 1 0 398 1 0 0
Interpanhandle 1221.391770833 0 0 1 0 565 1796 0 4 1 1 0 75 1 0 0
TheBobbyJackson 771.113240741 0 0 1 16 22961 628 1 230 1 1 0 5252 1 1 0
gilantonio70 595.247939815 1 0 1 4 82 449 1 0 1 1 0 23 0 0 1
metalsi666 949.230138889 0 0 1 7 118 334 1 1 1 1 0 313 1 0 1
JenniferJReed 1196.590740741 0 0 1 18 1186 1999 1 66 1 1 0 8570 1 0 0
_1Problematico_ 244.17775463 0 0 1 44 2222 1728 0 3 1 1 0 2821 1 0 1
jedwardpics 503.188854167 0 0 1 798 3769 3529 1 29 1 1 0 33191 1 0 1
TerryBeigie 1194.74869213 1 0 1 67 997 1676 0 71 1 1 0 11515 1 0 0
THEOSJOY 1252.997847222 1 0 1 1 13 104 0 0 1 1 0 82 0 0 1
daydreamymama 1495.405925926 0 0 1 286 132 346 0 4 1 1 0 957 1 0 1
stupitup 415.489675926 1 0 1 86 216 212 0 0 1 1 0 480 0 0 1
anvalica 27.605543981 1 0 1 0 2 12 0 0 1 1 0 1 0 0 1
reh923 901.114722222 1 0 1 13 63 267 0 0 1 1 0 109 0 0 1
JillyFenn 419.352303241 0 0 1 3 772 1424 0 32 1 1 0 1895 0 0 0
FauziNachrowiMC 885.228668981 0 0 1 3 1460 195 0 12 1 1 0 1366 1 0 0
mamaNyayogii 97.709675926 0 0 1 4 54 283 0 0 1 1 0 10 0 0 1
indra_mahadi 448.125231481 0 0 1 1 167 1307 0 0 1 1 0 59 0 0 1
worldintsummit 1291.945081019 0 0 1 0 46826 37382 0 186 1 1 0 916 1 0 0
Barry89Porter 892.884409722 0 0 1 14 605 464 0 5 1 1 0 12453 0 0 1
mellamo_bob 71.040949074 0 0 1 7 102 167 0 0 1 1 0 62 0 0 1
hes_raw 54.831539352 0 0 1 5 120 514 0 0 1 1 0 47 0 0 1
SierraJCruz6 662.925243056 0 0 1 337 161 462 1 0 1 1 0 6275 1 0 1
chavo_bi87 604.459571759 1 0 1 211 747 484 0 0 1 1 0 1169 0 0 1
